player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Tim Tawa,27.0,ARI,NL,-0.6,33.0,76.0,64.0,6.0,11.0,1.0,8.0,0.0,9.0,18.0,0.27,0.266,0.536,50.0,17.0,2.0,1.0,7/H358D4
Austin Slater,33.0,3TM,2LG,0.0,28.0,74.0,65.0,6.0,15.0,0.0,3.0,4.0,8.0,21.0,0.311,0.277,0.588,67.0,18.0,0.0,1.0,9H/7D
Austin Slater,33.0,2TM,NL,-0.2,21.0,49.0,43.0,4.0,9.0,0.0,2.0,1.0,5.0,15.0,0.286,0.233,0.518,49.0,10.0,0.0,1.0,9H/7D
Austin Slater,33.0,MIA,NL,0.0,12.0,28.0,23.0,1.0,4.0,0.0,1.0,1.0,4.0,9.0,0.286,0.174,0.46,35.0,4.0,0.0,1.0,/9H
Austin Slater,33.0,NYM,NL,-0.1,9.0,21.0,20.0,3.0,5.0,0.0,1.0,0.0,1.0,6.0,0.286,0.3,0.586,65.0,6.0,0.0,0.0,/H7D9
Austin Slater,33.0,TBR,AL,0.1,7.0,25.0,22.0,2.0,6.0,0.0,1.0,3.0,3.0,6.0,0.36,0.364,0.724,102.0,8.0,0.0,0.0,/97H
Christopher Morel,27.0,MIA,NL,-0.5,22.0,73.0,68.0,3.0,11.0,0.0,1.0,1.0,4.0,28.0,0.219,0.206,0.425,22.0,14.0,0.0,0.0,3/DH
Colby Thomas,25.0,ATH,AL,-0.5,35.0,73.0,68.0,8.0,14.0,2.0,6.0,0.0,4.0,21.0,0.25,0.324,0.574,55.0,22.0,1.0,0.0,9H/7D8
Joey Bart,29.0,2TM,NL,0.1,25.0,73.0,69.0,10.0,17.0,3.0,9.0,0.0,2.0,21.0,0.274,0.391,0.665,82.0,27.0,0.0,1.0,2/HD
Joey Bart,29.0,PIT,NL,0.0,21.0,62.0,58.0,9.0,15.0,2.0,6.0,0.0,2.0,21.0,0.29,0.379,0.67,83.0,22.0,0.0,1.0,2/HD
Joey Bart,29.0,ATL,NL,0.1,4.0,11.0,11.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.182,0.455,0.636,72.0,5.0,0.0,0.0,/2
Ha-Seong Kim,30.0,ATL,NL,-1.0,23.0,72.0,65.0,4.0,5.0,0.0,3.0,1.0,7.0,18.0,0.167,0.077,0.244,-28.0,5.0,0.0,0.0,6/H
Nick Allen,27.0,HOU,AL,0.5,37.0,70.0,64.0,12.0,16.0,1.0,5.0,1.0,3.0,14.0,0.29,0.328,0.618,73.0,21.0,1.0,1.0,64/H5
Lars Nootbaar*,28.0,STL,NL,0.5,17.0,70.0,59.0,12.0,17.0,2.0,7.0,0.0,10.0,15.0,0.386,0.492,0.877,147.0,29.0,0.0,1.0,7/89HD
Spencer Jones*,25.0,NYY,AL,0.2,25.0,68.0,59.0,5.0,13.0,2.0,7.0,1.0,9.0,29.0,0.324,0.356,0.679,90.0,21.0,0.0,0.0,8/9DH
Jhonny Pereda,30.0,SEA,AL,0.1,19.0,68.0,63.0,8.0,17.0,2.0,4.0,0.0,4.0,11.0,0.324,0.365,0.689,97.0,23.0,0.0,0.0,2
Ramón Urías,32.0,STL,NL,0.1,25.0,68.0,57.0,9.0,9.0,2.0,5.0,0.0,6.0,12.0,0.279,0.316,0.595,69.0,18.0,0.0,1.0,5/H36
Rodolfo Durán,28.0,SDP,NL,0.2,26.0,67.0,59.0,7.0,8.0,3.0,7.0,0.0,7.0,17.0,0.239,0.339,0.578,60.0,20.0,0.0,0.0,2/H
Jarred Kelenic*,26.0,2TM,AL,-0.4,23.0,67.0,60.0,4.0,13.0,1.0,4.0,0.0,7.0,24.0,0.299,0.3,0.599,70.0,18.0,0.0,0.0,9/H7
Jarred Kelenic*,26.0,CHW,AL,-0.3,19.0,59.0,53.0,3.0,12.0,1.0,4.0,0.0,6.0,20.0,0.305,0.321,0.626,76.0,17.0,0.0,0.0,9/H
Jarred Kelenic*,26.0,TEX,AL,0.0,4.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,0.143,0.393,19.0,1.0,0.0,0.0,/7H
Eric Haase,33.0,SFG,NL,0.0,23.0,66.0,60.0,8.0,12.0,4.0,9.0,0.0,4.0,20.0,0.25,0.45,0.7,96.0,27.0,2.0,0.0,2/7H
Samad Taylor,27.0,SDP,NL,0.8,16.0,66.0,58.0,11.0,22.0,1.0,11.0,6.0,6.0,18.0,0.438,0.448,0.886,150.0,26.0,2.0,0.0,7/9H
Víctor Robles,29.0,SEA,AL,-0.6,27.0,64.0,61.0,4.0,14.0,0.0,2.0,3.0,3.0,10.0,0.266,0.262,0.528,52.0,16.0,0.0,0.0,9/78HD
James McCann,36.0,ARI,NL,-0.6,21.0,62.0,59.0,3.0,12.0,0.0,6.0,0.0,1.0,17.0,0.217,0.254,0.471,31.0,15.0,2.0,0.0,2/13DH
Edwin Arroyo#,22.0,CIN,NL,0.2,20.0,61.0,55.0,6.0,13.0,0.0,2.0,0.0,3.0,14.0,0.295,0.273,0.568,58.0,15.0,0.0,1.0,4/6H
Denzer Guzmán,22.0,LAA,AL,0.1,14.0,61.0,55.0,7.0,13.0,3.0,11.0,1.0,6.0,13.0,0.311,0.436,0.748,109.0,24.0,0.0,0.0,5
Jorge Polanco#,32.0,NYM,NL,-0.3,14.0,61.0,56.0,3.0,10.0,1.0,2.0,0.0,5.0,11.0,0.246,0.286,0.532,49.0,16.0,0.0,0.0,D/3
Denzel Clarke,26.0,ATH,AL,-0.4,22.0,60.0,53.0,4.0,9.0,0.0,6.0,2.0,4.0,24.0,0.228,0.189,0.417,16.0,10.0,3.0,0.0,8/H
