player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Troy Johnston*,29.0,COL,NL,0.2,73.0,271.0,242.0,30.0,76.0,3.0,35.0,4.0,22.0,47.0,0.378,0.442,0.82,118.0,107.0,1.0,2.0,973D/H
Willi Castro#,29.0,COL,NL,1.2,69.0,270.0,241.0,36.0,68.0,6.0,33.0,6.0,25.0,68.0,0.356,0.411,0.766,104.0,99.0,0.0,1.0,4563/7H8
Chase DeLauter*,24.0,CLE,AL,0.6,66.0,270.0,240.0,24.0,63.0,7.0,34.0,2.0,28.0,36.0,0.337,0.408,0.745,109.0,98.0,0.0,2.0,9D/H
Ryan O'Hearn*,32.0,PIT,NL,0.3,66.0,270.0,246.0,35.0,70.0,11.0,45.0,1.0,20.0,60.0,0.341,0.463,0.804,119.0,114.0,0.0,2.0,93D/H
Isaac Collins#,28.0,KCR,AL,-0.4,72.0,269.0,227.0,28.0,51.0,3.0,23.0,4.0,33.0,65.0,0.333,0.313,0.646,85.0,71.0,2.0,2.0,*7/H4D
J.P. Crawford*,31.0,SEA,AL,0.7,64.0,268.0,224.0,33.0,50.0,10.0,24.0,1.0,38.0,50.0,0.347,0.379,0.726,109.0,85.0,0.0,1.0,6/5HD
Kody Clemens*,30.0,MIN,AL,1.3,68.0,266.0,241.0,32.0,58.0,11.0,30.0,6.0,18.0,58.0,0.307,0.461,0.767,109.0,111.0,2.0,0.0,379/84H
Elly De La Cruz#,24.0,CIN,NL,2.2,60.0,266.0,239.0,41.0,66.0,12.0,37.0,10.0,24.0,78.0,0.346,0.498,0.844,128.0,119.0,0.0,1.0,*6/D
Brett Baty*,26.0,NYM,NL,0.0,77.0,265.0,235.0,26.0,51.0,3.0,26.0,3.0,24.0,75.0,0.295,0.302,0.598,68.0,71.0,0.0,2.0,593/H4D6
Ezequiel Durán,27.0,TEX,AL,1.5,72.0,265.0,241.0,32.0,63.0,6.0,40.0,5.0,20.0,64.0,0.318,0.415,0.733,113.0,100.0,1.0,2.0,6475/9H38
