Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
328,Leo Rivas#,28,SEA,AL,-0.1,38,120,99,9,13,2,1,0,7,2,0,15,36,.131,.263,.172,.434,28,.224,33,17,1,3,2,1,0,56/DH,,rivasle01
329,Jorge Barrosa#,25,ARI,NL,0.0,56,119,105,15,19,10,1,2,9,0,0,9,35,.181,.252,.352,.605,66,.272,62,37,1,1,4,0,0,*897/H,,barrojo01
330,Dylan Beavers*,24,BAL,AL,-0.2,33,119,103,16,25,7,0,2,12,3,1,14,28,.243,.331,.369,.699,97,.313,94,38,1,0,1,1,0,9/D87H,,beavedy01
331,Randal Grichuk,34,2TM,AL,0.4,52,118,111,21,30,8,0,9,22,0,0,5,28,.270,.305,.586,.891,142,.377,139,65,2,1,0,1,0,HD7/9,,grichra01
331,Randal Grichuk,34,NYY,AL,-0.3,16,33,31,8,6,4,0,0,2,0,0,1,10,.194,.212,.323,.535,47,.229,34,10,0,0,0,1,0,7/DH9,,grichra01
331,Randal Grichuk,34,CHW,AL,0.8,36,85,80,13,24,4,0,9,20,0,0,4,18,.300,.341,.688,1.029,180,.434,179,55,2,1,0,0,0,HD/97,,grichra01
332,Davis Schneider,27,TOR,AL,-0.4,48,117,97,16,15,5,0,3,12,1,0,18,38,.155,.284,.299,.583,60,.272,57,29,1,0,1,1,0,7H4/D,,schneda03
333,Josh Smith*,28,TEX,AL,-0.3,34,117,101,6,22,3,0,0,6,2,1,14,22,.218,.316,.248,.564,69,.270,75,25,1,1,0,1,1,4/HD5,,smithjo11
334,Lenyn Sosa,26,2TM,AL,-0.9,40,117,113,11,22,7,0,1,9,0,0,1,25,.195,.207,.283,.490,33,.223,26,32,2,1,1,1,0,43/DH,,sosale01
334,Lenyn Sosa,26,CHW,AL,-0.3,12,33,33,2,7,3,0,0,3,0,0,0,7,.212,.212,.303,.515,43,.225,32,10,0,0,0,0,0,/DH34,,sosale01
334,Lenyn Sosa,26,TOR,AL,-0.6,28,84,80,9,15,4,0,1,6,0,0,1,18,.188,.205,.275,.480,29,.222,23,22,2,1,1,1,0,43/HD,,sosale01
335,Mitch Garver,35,SEA,AL,0.4,38,116,97,15,18,2,0,3,11,0,0,18,36,.186,.319,.299,.618,79,.312,99,29,0,1,0,0,0,2/DH,,garvemi01
336,Rob Refsnyder,35,SEA,AL,-1.0,48,116,102,8,14,0,0,3,9,0,0,7,31,.137,.209,.225,.434,25,.200,20,23,2,3,1,3,0,DH9/7,,refsnro01
337,Mickey Gasper#,30,BOS,AL,0.2,33,115,103,11,26,5,1,0,6,0,1,9,21,.252,.316,.320,.636,82,.292,86,33,2,1,1,1,0,2D/H3,,gaspemi01
338,Daniel Susac,25,SFG,NL,0.3,37,115,103,5,27,5,1,0,14,1,1,6,27,.262,.310,.330,.640,84,.283,80,34,3,2,2,2,0,2/H5,,susacda01
339,Will Benson*,28,CIN,NL,-0.3,51,114,96,11,18,3,1,3,6,1,1,16,38,.188,.310,.333,.643,77,.288,73,32,0,1,0,0,1,9H/78D,,bensowi01
340,Jake Cronenworth*,32,SDP,NL,-0.3,32,114,97,13,14,2,0,1,4,1,0,14,23,.144,.272,.196,.468,35,.240,40,19,1,3,0,0,0,4/56H,,croneja01
341,Derek Hill,30,2TM,2LG,0.4,61,114,104,15,26,2,0,6,13,7,4,7,39,.250,.304,.442,.746,105,.322,101,46,1,1,2,0,0,*9H87/D,,hillde01
341,Derek Hill,30,CHW,AL,-0.1,50,90,80,11,17,1,0,4,8,7,4,7,29,.213,.284,.375,.659,83,.288,79,30,1,1,2,0,0,9H78/D,,hillde01
341,Derek Hill,30,PHI,NL,0.5,11,24,24,4,9,1,0,2,5,0,0,0,10,.375,.375,.667,1.042,176,.447,184,16,0,0,0,0,0,/98H7,,hillde01
342,Jorge Mateo,31,ATL,NL,0.7,51,113,107,25,28,5,0,4,11,7,1,6,33,.262,.301,.421,.721,102,.323,96,45,2,0,0,0,0,6H/D14,,mateojo01
343,Brett Sullivan*,32,COL,NL,-0.4,40,113,104,8,22,6,0,4,13,0,0,5,22,.212,.250,.385,.635,66,.274,55,40,3,1,1,2,0,2/H1D3,,sullibr01
344,Colt Emerson*,20,SEA,AL,0.6,32,112,102,13,21,5,1,6,16,1,0,8,36,.206,.277,.451,.728,105,.315,100,46,1,2,0,0,0,65/DH,,emersco01
345,Harrison Bader,32,SFG,NL,0.2,30,111,106,10,18,5,0,5,14,0,0,4,34,.170,.198,.358,.557,55,.245,51,38,3,0,0,1,0,8/H,,baderha01
346,Francisco Lindor#,32,NYM,NL,0.2,25,110,98,14,21,2,2,2,5,2,1,11,19,.214,.300,.337,.637,79,.293,80,33,2,1,0,0,0,6,,lindofr01
347,Eli White,32,ATL,NL,0.7,49,110,102,12,22,4,1,3,14,3,0,6,23,.216,.264,.363,.626,75,.294,78,37,1,1,0,1,0,97H8/D,,whiteel04
348,Hunter Feduccia*,29,TBR,AL,0.0,43,108,93,11,21,3,0,1,8,0,0,11,33,.226,.311,.290,.602,68,.276,65,27,1,1,2,1,0,2/HD,,feduchu01
349,Drew Romo#,24,CHW,AL,-0.1,30,106,93,9,13,4,0,5,11,1,0,10,27,.140,.229,.344,.573,58,.264,58,32,4,1,1,1,0,2/3,,romodr01
350,Jared Young*,30,NYM,NL,0.8,36,106,95,13,23,4,0,6,13,0,0,9,23,.242,.311,.474,.785,116,.346,118,45,2,1,0,1,0,3/DH79,,youngja02
351,Joey Loperfido*,27,HOU,AL,0.2,34,105,89,13,21,7,1,1,11,1,1,13,24,.236,.337,.371,.707,98,.311,94,33,2,1,0,1,1,7/H89,,loperjo01
352,Tyrone Taylor,32,NYM,NL,-0.5,43,104,97,8,18,4,0,3,14,0,1,3,19,.186,.210,.320,.530,46,.225,33,31,0,0,4,0,0,H897/D,,tayloty01
353,Connor Wong,30,BOS,AL,0.9,33,103,89,12,24,8,0,1,12,2,1,9,22,.270,.356,.393,.750,113,.337,115,35,1,3,2,0,0,2/HD,,wongco01
354,Brendan Donovan*,29,SEA,AL,0.6,25,101,84,9,23,4,1,3,8,1,1,11,15,.274,.386,.452,.839,140,.370,142,38,0,5,0,1,0,5/DH,,donovbr01
355,Wade Meckler*,26,LAA,AL,0.7,30,101,90,13,26,6,0,2,15,2,0,11,22,.289,.366,.422,.789,123,.362,128,38,0,0,0,0,0,7/H9D,,mecklwa01
356,Jahmai Jones,28,DET,AL,-1.1,53,100,91,7,13,2,0,2,7,0,2,9,32,.143,.220,.231,.451,25,.209,25,21,3,0,0,0,0,DH/79,,jonesja08
357,Ryan Kreidler,28,MIN,AL,0.6,39,100,89,16,25,3,2,4,20,0,3,10,17,.281,.360,.494,.854,134,.356,132,44,3,1,0,0,0,68H/57,,kreidry01
358,Alek Thomas*,26,ARI,NL,-0.1,28,100,94,12,17,9,0,2,10,4,0,3,23,.181,.222,.340,.563,54,.254,43,32,3,2,1,0,0,8,,thomaal01
359,Jackson Holliday*,22,BAL,AL,-0.2,30,99,86,14,17,2,1,4,12,3,0,11,30,.198,.283,.384,.667,86,.300,81,33,1,0,0,2,0,4/H56D,,hollija01
360,Starling Marte,37,KCR,AL,0.1,36,99,88,9,23,4,0,1,7,0,1,7,26,.261,.323,.341,.664,89,.292,85,30,2,2,0,2,0,9DH/7,,martest01
361,Luis Robert Jr.,28,NYM,NL,0.1,24,98,85,10,19,3,0,2,8,2,2,13,17,.224,.327,.329,.656,85,.304,92,28,2,0,0,0,0,8/H,,roberlu01
362,Brandon Lockridge,29,MIL,NL,0.4,28,96,85,9,25,4,0,0,12,5,0,10,25,.294,.368,.341,.710,99,.341,103,29,0,0,1,0,0,7/8H3,,lockrbr01
363,Blake Perkins#,29,MIL,NL,0.3,48,96,85,12,13,5,0,1,11,3,1,9,22,.153,.242,.247,.489,36,.256,49,21,1,1,1,0,0,8H9/7D,,perkibl01
364,Giancarlo Stanton,36,NYY,AL,0.2,24,96,90,8,23,6,0,3,14,1,0,6,29,.256,.302,.422,.724,100,.329,103,38,2,0,0,0,0,D/H,,stantmi03
365,Endy Rodríguez#,26,PIT,NL,0.6,28,94,76,12,20,5,0,3,11,2,0,17,23,.263,.398,.447,.845,133,.383,137,34,3,0,0,0,0,2/H3,,rodrien01
366,Tyler Heineman#,35,2TM,AL,-0.2,34,94,84,7,14,2,0,1,6,0,0,3,20,.167,.222,.226,.448,23,.207,10,19,2,3,4,0,0,2/1HD,,heinety01
366,Tyler Heineman#,35,TOR,AL,-0.3,31,87,78,6,12,1,0,1,6,0,0,2,19,.154,.205,.205,.410,12,.190,-3,16,2,3,4,0,0,2/1HD,,heinety01
366,Tyler Heineman#,35,LAA,AL,0.1,3,7,6,1,2,1,0,0,0,0,0,1,1,.333,.429,.500,.929,162,.410,164,3,0,0,0,0,0,/2,,heinety01
367,Adam Frazier*,34,LAA,AL,0.1,40,93,81,15,17,5,1,1,6,0,0,9,28,.210,.297,.333,.630,78,.285,76,27,1,1,2,0,0,4H/71D,,fraziad01
368,Tommy Troy,24,ARI,NL,0.5,27,93,83,17,20,3,1,3,7,0,0,10,19,.241,.323,.410,.732,102,.341,112,34,0,0,0,0,0,7/8DH,,troyto01
369,J.C. Escarra*,31,NYY,AL,0.0,32,92,85,8,16,5,1,0,7,0,0,6,18,.188,.239,.271,.510,42,.249,48,23,1,0,0,1,0,2/H,,escarjc01
370,Leo Jiménez,25,MIA,NL,-0.9,31,92,79,7,14,2,0,0,1,1,0,7,21,.177,.283,.203,.485,41,.238,43,16,4,5,0,1,0,5/4DH6,,jimenle01
371,Graham Pauley*,25,MIA,NL,-0.6,33,91,85,8,14,6,0,1,9,1,1,5,22,.165,.211,.271,.482,36,.211,26,23,3,0,1,0,0,5/3H,,paulegr01
372,James Outman*,29,2TM,AL,-0.2,59,91,83,11,13,4,1,1,5,5,2,7,41,.157,.231,.265,.496,37,.227,30,22,0,1,0,0,0,87H/9D,,outmaja01
372,James Outman*,29,MIN,AL,-0.3,49,70,64,9,10,4,1,0,3,4,2,5,29,.156,.229,.250,.479,33,.220,26,16,0,1,0,0,0,87H/9D,,outmaja01
372,James Outman*,29,DET,AL,0.1,10,21,19,2,3,0,0,1,2,1,0,2,12,.158,.238,.316,.554,52,.253,41,6,0,0,0,0,0,/8H,,outmaja01
373,Jake Fraley*,31,TBR,AL,0.0,28,90,82,6,19,7,0,2,5,3,0,8,25,.232,.300,.390,.690,90,.314,86,32,1,0,0,0,0,9/HD,,fraleja01
374,Bo Naylor*,26,CLE,AL,-0.5,28,90,84,4,12,2,0,2,7,0,0,6,21,.143,.200,.238,.438,23,.200,16,20,2,0,0,0,0,2/H,,naylobo01
